         66953 function calls (63609 primitive calls) in 19.583 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   639/87    0.001    0.000    0.017    0.000 D:\Brayo\Python\Optivest Scripts v1\.venv\lib\site-packages\pydantic\_internal\_core_utils.py:196(walk)
   639/87    0.008    0.000    0.016    0.000 D:\Brayo\Python\Optivest Scripts v1\.venv\lib\site-packages\pydantic\_internal\_core_utils.py:199(_walk)
   549/87    0.002    0.000    0.016    0.000 D:\Brayo\Python\Optivest Scripts v1\.venv\lib\site-packages\pydantic\_internal\_core_utils.py:206(_handle_other_schemas)
        1    0.000    0.000    0.016    0.016 D:\Brayo\Python\Optivest Scripts v1\.venv\lib\site-packages\h11\_headers.py:1(<module>)
        1    0.000    0.000    0.016    0.016 D:\Brayo\Python\Optivest Scripts v1\.venv\lib\site-packages\uvicorn\config.py:474(setup_event_loop)
       18    0.001    0.000    0.015    0.001 D:\Brayo\Python\Optivest Scripts v1\.venv\lib\site-packages\pydantic\_internal\_core_utils.py:325(handle_model_fields_schema)
    44/14    0.000    0.000    0.015    0.001 D:\Brayo\Python\Optivest Scripts v1\.venv\lib\site-packages\pydantic\_internal\_generate_schema.py:906(_generate_schema_inner)
        3    0.000    0.000    0.014    0.005 C:\Users\KLAUS\AppData\Local\Programs\Python\Python310\lib\concurrent\futures\thread.py:155(submit)
        3    0.000    0.000    0.014    0.005 C:\Users\KLAUS\AppData\Local\Programs\Python\Python310\lib\concurrent\futures\thread.py:174(_adjust_thread_count)
        2    0.000    0.000    0.014    0.007 D:\Brayo\Python\Optivest Scripts v1\.venv\lib\site-packages\fastapi\utils.py:63(create_model_field)
        1    0.000    0.000    0.014    0.014 D:\Brayo\Python\Optivest Scripts v1\.venv\lib\site-packages\fastapi\dependencies\utils.py:562(solve_dependencies)
        1    0.000    0.000    0.014    0.014 D:\Brayo\Python\Optivest Scripts v1\.venv\lib\site-packages\fastapi\dependencies\utils.py:866(request_body_to_args)
        1    0.000    0.000    0.014    0.014 D:\Brayo\Python\Optivest Scripts v1\.venv\lib\site-packages\fastapi\_compat.py:655(get_cached_model_fields)
        1    0.000    0.000    0.014    0.014 D:\Brayo\Python\Optivest Scripts v1\.venv\lib\site-packages\fastapi\_compat.py:283(get_model_fields)
        1    0.000    0.000    0.014    0.014 D:\Brayo\Python\Optivest Scripts v1\.venv\lib\site-packages\fastapi\_compat.py:284(<listcomp>)
        1    0.000    0.000    0.014    0.014 D:\Brayo\Python\Optivest Scripts v1\.venv\lib\site-packages\fastapi\routing.py:991(decorator)
       14    0.000    0.000    0.013    0.001 D:\Brayo\Python\Optivest Scripts v1\.venv\lib\site-packages\pydantic\_internal\_core_utils.py:419(simplify_schema_references)
       83    0.003    0.000    0.013    0.000 C:\Users\KLAUS\AppData\Local\Programs\Python\Python310\lib\typing.py:995(__init__)
        1    0.001    0.001    0.012    0.012 D:\Brayo\Python\Optivest Scripts v1\.venv\lib\site-packages\uvicorn\protocols\http\h11_impl.py:35(<dictcomp>)
      173    0.001    0.000    0.012    0.000 C:\Users\KLAUS\AppData\Local\Programs\Python\Python310\lib\asyncio\futures.py:308(_set_result_unless_cancelled)
       45    0.003    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
       15    0.000    0.000    0.012    0.001 C:\Users\KLAUS\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:937(parse)
      281    0.007    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
      190    0.002    0.000    0.011    0.000 {method 'set_result' of '_asyncio.Future' objects}
    46/15    0.001    0.000    0.011    0.001 C:\Users\KLAUS\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:435(_parse_sub)
       11    0.000    0.000    0.011    0.001 C:\Users\KLAUS\AppData\Local\Programs\Python\Python310\lib\logging\__init__.py:1458(info)
    38/14    0.000    0.000    0.011    0.001 D:\Brayo\Python\Optivest Scripts v1\.venv\lib\site-packages\pydantic\_internal\_schema_generation_shared.py:82(__call__)
      500    0.004    0.000    0.011    0.000 D:\Brayo\Python\Optivest Scripts v1\.venv\lib\site-packages\uvicorn\protocols\http\h11_impl.py:28(_get_status_phrase)
    60/20    0.004    0.000    0.011    0.001 C:\Users\KLAUS\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:493(_parse)
